mu,P_mui0,P_mui1,P_mui2,beta2,P_epsilon,P_kappa,P_gamma0,P_gamma1,P_gamma2,P_nu,cdr_b,P_h,P_j,Equi_incidence
0.014544866,0.072221275,0.076945062,0.513325442,35.21578447,0.096760837,0.61394652,0.580159817,0.564129154,0.283050412,0.029425116,0.698298789,0.025173526,0.019972314,47.57743023
0.01505259,0.068955808,0.066834172,0.375198202,41.89069196,0.102122426,0.56800753,0.577841782,0.574423041,0.406619697,0.071614173,0.640606414,0.012395454,0.047617624,457.4314625
0.016600665,0.058750998,0.086426714,0.365556593,42.38755162,0.091921265,0.630533346,0.580356484,0.581417333,0.354429046,0.074636599,0.700505325,0.026164652,0.024567671,349.5372225
0.016510549,0.070800204,0.066373415,0.445890594,41.07112539,0.093496738,0.645682465,0.581254739,0.558753071,0.175780308,0.056674575,0.719360306,0.029708517,0.016524088,245.9420287
0.015784285,0.062585846,0.064851955,0.405665684,56.50222078,0.096272662,0.609953227,0.575851559,0.589362584,0.435646844,0.026676123,0.712859291,0.03230283,0.028307691,135.3718932
0.015891425,0.056623324,0.082919639,0.379258549,47.63667145,0.099896002,0.64363201,0.57404671,0.572928367,0.295769333,0.039712296,0.545956694,0.034313957,0.016383807,320.5378189
0.01474781,0.073740878,0.074610106,0.454430035,54.19053442,0.076790567,0.65704849,0.58360233,0.580578743,0.266909024,0.056197318,0.549444546,0.0351718,0.04990975,366.8759025
0.015243069,0.069956334,0.081829064,0.366550179,44.69264034,0.112693623,0.624054402,0.570817672,0.571783235,0.180952747,0.050974228,0.693305609,0.004592239,0.027992725,365.2265452
0.015253142,0.065073421,0.07434084,0.488841513,37.47576422,0.12619459,0.594663679,0.558700133,0.574802853,0.355153929,0.039341255,0.738491398,0.013062055,0.027412387,118.6222922
0.015185713,0.073580559,0.060780535,0.467760104,40.95309598,0.094948232,0.659705713,0.578546801,0.592743279,0.277997166,0.040785388,0.656252698,0.036341572,0.037379229,173.255682
0.015728813,0.076887424,0.078109757,0.339295257,41.13380984,0.104239256,0.63793149,0.566761581,0.567829154,0.217234769,0.03171824,0.64914341,0.015317369,0.011911377,216.7157598
0.01710387,0.06918797,0.087550894,0.438789046,55.99295986,0.115234578,0.653967068,0.569142988,0.570648671,0.417469661,0.052235832,0.609763956,0.02814936,0.041835704,401.5805806
0.017644586,0.060475331,0.075196465,0.327724782,39.29867632,0.09078652,0.688526417,0.571039992,0.561456551,0.291890275,0.037875461,0.709597847,0.027840758,0.033269136,112.9035836
0.016325477,0.062112014,0.071866437,0.505620677,39.1382061,0.091235151,0.6364848,0.574405191,0.580802612,0.370064756,0.033927678,0.585043533,0.042709858,0.032319103,140.1928814
0.015404654,0.082469197,0.061341122,0.466706489,38.59898843,0.105268634,0.641779381,0.579021816,0.581187717,0.379794487,0.038080064,0.727233932,0.042916772,0.040020221,76.05928675
0.01650288,0.067045682,0.067174082,0.398975479,37.68933329,0.116384644,0.602461128,0.556853445,0.579692058,0.290826059,0.060365836,0.634354369,0.039350202,0.042810549,399.7911148
0.015301123,0.076616611,0.063403833,0.350966758,45.97382254,0.091498413,0.607144874,0.577090959,0.583698806,0.384820879,0.032649176,0.740726129,0.038396495,0.02027456,109.4500851
0.014418181,0.060895914,0.082661414,0.404306479,33.15102312,0.096718109,0.555478607,0.57445156,0.569775531,0.291648556,0.066505262,0.636021918,0.020485811,0.029220038,367.981737
0.016883084,0.074030322,0.068301881,0.404792147,48.97040651,0.086512094,0.617285793,0.587546285,0.566233017,0.391010009,0.046391102,0.601385176,0.014392512,0.017504818,285.2064042
0.016454685,0.05847256,0.064698432,0.519689235,40.76013967,0.107842929,0.635853144,0.556481945,0.565117023,0.40807653,0.0227063,0.692656207,0.030653998,0.018925137,27.61932578
0.015913782,0.056708182,0.05704654,0.498261231,54.78638784,0.097631609,0.605210661,0.564898107,0.563197945,0.353036492,0.031186553,0.604599706,0.011550256,0.017410371,244.0506878
0.014326204,0.06179363,0.077227653,0.42150994,49.85231758,0.108950912,0.658405949,0.574701566,0.582794336,0.355571359,0.046067141,0.646515929,0.013945107,0.024878135,290.8701187
0.015557333,0.077733956,0.055562779,0.451949982,35.90310008,0.089119253,0.575675807,0.563684037,0.560238162,0.253074702,0.056837936,0.560641624,0.042980113,0.026041184,354.3117901
0.01420703,0.07364592,0.086324331,0.421021476,37.67696242,0.083442269,0.616626911,0.577498108,0.586879462,0.266002604,0.029345984,0.598812078,0.012705522,0.023520621,136.1749854
0.016584488,0.060645009,0.073199684,0.459125371,42.81062887,0.11468391,0.59808454,0.561499299,0.565230156,0.359980777,0.032125809,0.630045542,0.041021197,0.039315586,224.0662436
0.014693761,0.073945351,0.059530773,0.456884852,34.46069087,0.086685817,0.585766594,0.580783126,0.587550111,0.273965752,0.038884833,0.733212272,0.016794043,0.034997631,64.47613921
0.016624299,0.063996186,0.078578938,0.463127463,45.7009291,0.084149046,0.576466161,0.58776008,0.555423853,0.242181237,0.044460594,0.671252275,0.053070971,0.012815475,246.7135194
0.014882588,0.066977049,0.072122597,0.336130739,52.96864584,0.099020757,0.629091525,0.557507993,0.583232078,0.211319918,0.050505885,0.667810891,0.025958556,0.033678773,397.1678415
0.014138526,0.072614767,0.057635243,0.505458245,40.94049811,0.100645963,0.624383808,0.559299577,0.591043155,0.235911566,0.060056423,0.624616116,0.024945221,0.023747493,343.1121663
0.017186079,0.064885994,0.070772078,0.436631834,57.04798147,0.085624272,0.579232493,0.555790887,0.573541817,0.281785647,0.066954216,0.701818552,0.016393108,0.02598099,422.5145335
0.016839839,0.069969431,0.084546565,0.341821977,44.36808684,0.110695987,0.634161791,0.585818577,0.590607531,0.214714427,0.057596987,0.706282416,0.041074211,0.032474849,372.2293389
0.014393685,0.066847794,0.078510422,0.449968972,52.22114669,0.110987375,0.586047897,0.558086982,0.557301218,0.290951032,0.027833996,0.716876447,0.03038956,0.041877051,200.8102877
0.017126225,0.059286409,0.066190437,0.398080767,40.39812073,0.096467994,0.699509266,0.559698366,0.572321696,0.222157864,0.052788135,0.630602945,0.006530029,0.04120787,273.4444356
0.014682987,0.065982604,0.055416952,0.446303842,39.79927073,0.104921176,0.680539469,0.593106619,0.583142588,0.410717019,0.036052572,0.775922185,0.032367516,0.029939211,0.000844587
